realSum,logSum,room_type_apt,room_type_private,room_type_shared,person_capacity,is_superhost,multi,biz,cleanliness_rating,satisfaction_rating,bedrooms,dist,metro_dist,attr_index,rest_index,city,is_weekday
761.8400393691562,6.6357366115622,0,1,0,4.0,0,0,0,9.0,93.0,2,1.09118232606682,1.216674871885683,367.6278570020923,434.2124051236189,Amsterdam,1
317.0623110632016,5.759098319429082,0,1,0,2.0,0,1,0,8.0,90.0,1,2.6322379401630376,1.1721670782255924,151.03644339540324,191.45572626267835,Amsterdam,1
319.40571321444475,5.7664621229548265,0,1,0,2.0,0,0,0,10.0,96.0,1,0.3530819578031284,0.4957339182902796,500.52348793818464,797.9796040220832,Amsterdam,1
209.03147189089125,5.342484823838303,0,1,0,2.0,1,1,0,10.0,97.0,1,4.687725165015746,3.632031437799635,90.39484135450608,112.98617694877194,Amsterdam,1
209.03147189089125,5.342484823838303,0,1,0,2.0,1,1,0,10.0,98.0,1,4.612475562748068,3.625932548901677,92.04662026740972,115.15689848469738,Amsterdam,1
640.4518079347597,6.462173877186362,1,0,0,2.0,0,0,0,9.0,96.0,1,1.7326208039228015,0.504430856064857,386.06001248171873,430.870639354396,Amsterdam,1
209.03147189089125,5.342484823838303,0,1,0,2.0,1,1,0,10.0,98.0,1,4.68689685387767,3.595893239791539,90.27607421980088,112.80215193353332,Amsterdam,1
934.0800974855296,6.839562192031034,0,1,0,4.0,1,1,0,10.0,96.0,1,1.1199150496750092,0.3824055698576001,373.3589702103129,414.245933536662,Amsterdam,1
210.2031729665128,5.34807455331709,0,1,0,2.0,0,1,0,9.0,88.0,1,2.478895351747357,1.3334441451638506,172.8309735139237,215.36402869566072,Amsterdam,1
221.21716307735576,5.399144857403795,0,1,0,2.0,0,0,0,9.0,94.0,1,6.058988674664705,1.7481671673724164,77.94907670629594,96.97587265628582,Amsterdam,1
441.26262507908984,6.089640219915446,0,1,0,2.0,0,1,0,10.0,91.0,1,0.7922262181442554,0.7338243167507649,362.76049979987135,522.445133140845,Amsterdam,1
325.498558807677,5.785358034012638,0,1,0,2.0,0,1,0,8.0,80.0,1,0.9249996021423226,0.7817880235791371,327.0954295008321,478.7234137664154,Amsterdam,1
792.7729477655661,6.675536860039002,1,0,0,4.0,0,0,0,10.0,97.0,2,5.902076232094142,1.9405543232877949,78.75712708465488,97.7564969668544,Amsterdam,1
213.95261640850188,5.365754571853262,0,1,0,2.0,1,0,0,10.0,93.0,1,7.01790675436861,0.2182564429090288,68.85492833186875,86.89795225294321,Amsterdam,1
317.0623110632016,5.759098319429082,0,1,0,2.0,1,0,0,10.0,99.0,1,3.4008968845053844,1.512648825694328,112.41548615631967,140.57794643651528,Amsterdam,1
319.6400534295691,5.767195529661701,1,0,0,2.0,1,0,0,10.0,95.0,1,3.4030984859495055,0.7077232272113942,159.62716330921518,201.2395972044559,Amsterdam,1
1044.6886790242074,6.951474205204108,1,0,0,2.0,0,0,0,10.0,98.0,1,3.0030686360808994,1.6344634192292808,146.7892473506369,189.3982134612177,Amsterdam,1
310.96946546996935,5.7396947255905015,1,0,0,2.0,0,0,0,9.0,94.0,1,3.571400786708212,2.6197486990397936,118.86254923532388,151.68148797079445,Amsterdam,1
295.0343308415157,5.687091725302641,1,0,0,2.0,0,0,0,9.0,92.0,1,4.6654114118221015,2.9774802400833953,84.34533934563056,105.92345537681685,Amsterdam,1
344.2457760176224,5.8413558674321715,1,0,0,2.0,0,0,0,7.0,82.0,0,4.157070172595494,0.1012318191726814,118.8480104557377,151.47827587010414,Amsterdam,1
539.2168350010546,6.2901177812936595,1,0,0,2.0,0,0,0,10.0,98.0,1,3.7813310591990335,0.9202137108935404,138.153441790507,173.63790780476126,Amsterdam,1
460.9472031495325,6.133283509647353,0,1,0,2.0,1,0,0,10.0,98.0,1,0.5851829316999698,0.401275176970096,533.6906722564439,946.269943081202,Amsterdam,1
415.4852014154149,6.029446997332502,1,0,0,4.0,1,1,0,10.0,98.0,1,5.0392331758922175,1.7304866027390526,78.49539118721323,97.63302335690044,Amsterdam,1
215.12431748412348,5.371216081878784,0,1,0,2.0,1,0,0,10.0,95.0,1,3.5992221200932195,2.460046063839885,115.40032340002736,143.56955113436797,Amsterdam,1
393.4572211937291,5.974972348335835,0,1,0,2.0,1,0,0,10.0,97.0,1,1.4993631412343562,0.2314822152442006,321.4334985007762,395.4547897700654,Amsterdam,1
232.23115318819865,5.447733225588282,0,1,0,2.0,0,0,0,10.0,97.0,0,3.716679326293173,1.5569628923100989,103.66151269313072,129.69180134566687,Amsterdam,1
